player_name,Position,xg,shots,shots_on_target,goals_Other_Position
A. Bilow,CF,0.23,3,1,1
A. Bilow,LAMF,0.27,1,1,1
A. Bilow,"LCMF, RW",0.06,2,1,0
A. Bilow,"LW, CF",0.54,5,4,0
A. Bilow,"LW, RCMF3",0.26,3,0,0
A. Bilow,RAMF,0.41000000000000003,5,4,0
A. Bilow,"RAMF, RW",0.05,1,1,0
A. Bilow,"RW, CF",0.11,1,0,0
A. Camara,AMF,0.95,2,0,0
A. Camara,"AMF, CF",0.19,2,0,0
A. Camara,"AMF, CF, RAMF",0.76,1,1,1
A. Camara,CF,22.18,106,50,29
A. Camara,"CF, LW",0.75,3,2,1
A. Camara,"CF, LWB",0.46,2,1,1
A. Camara,"CF, RW",0.62,4,3,1
A. Camara,"RWF, CF",0.11,1,0,0
A. Hall,AMF,0.47,3,1,1
A. Hall,"AMF, CF",0.04,1,0,0
A. Hall,CF,0.02,1,0,0
A. Hall,"LW, CF",0.35,2,1,0
A. Hall,"RW, CF",0.05,2,1,0
A. Kato,CF,2.41,15,9,1
A. Narang,AMF,0.13,2,1,0
A. Narang,DMF,0.11,3,1,0
A. Narang,"DMF, LCMF",0.02,1,1,0
A. Narang,RCMF3,0.17,1,1,0
A. Ndrenika,AMF,0.25,2,0,0
A. Ndrenika,"AMF, LAMF",0.25,2,0,0
A. Ndrenika,"AMF, LCMF",0.25,3,3,1
A. Ndrenika,"AMF, LW",0.17,3,1,0
A. Ndrenika,"AMF, RDMF",0.0,1,0,0
A. Ndrenika,LAMF,0.2,2,1,0
A. Ndrenika,"LAMF, LDMF",0.29,2,1,0
A. Ndrenika,LCMF,0.5,6,1,1
A. Ndrenika,"LCMF, LW",0.01,1,0,0
A. Ndrenika,"LCMF, RCMF",0.15,2,2,0
A. Ndrenika,"LDMF, RAMF",0.02,1,0,0
A. Ndrenika,RCMF,0.38,5,3,1
A. Ndrenika,"RCMF, RW",0.38,2,2,0
A. Nitzl,"AMF, LDMF",0.01,1,0,0
A. Nitzl,"DMF, LB",0.06,1,0,0
A. Nitzl,"LB, RDMF",0.0,1,0,0
A. Nitzl,"LCB, RDMF",0.0,1,0,0
A. Nitzl,LCMF,0.08,2,0,0
A. Nitzl,LDMF,0.08,1,0,0
A. Nitzl,"LDMF, RB, RDMF",0.01,1,0,0
A. Nitzl,"LDMF, RDMF",0.0,1,0,0
A. Nitzl,RDMF,0.03,3,0,0
A. Ochoa,AMF,0.74,8,2,0
A. Ochoa,"AMF, CF",0.4,1,1,0
A. Ochoa,"AMF, CF, RWF",0.01,1,0,0
A. Ochoa,"AMF, LCMF",0.1,2,1,1
A. Ochoa,"AMF, LCMF, LDMF",0.08,1,1,1
A. Ochoa,"AMF, LDMF, RDMF",0.01,1,0,0
A. Ochoa,CF,1.7999999999999998,7,2,1
A. Ochoa,"CF, LAMF",0.4,4,2,0
A. Ochoa,"CF, LCMF",0.57,3,2,1
A. Ochoa,"CF, LCMF3",1.01,4,2,1
A. Ochoa,"CF, LCMF3, LWF",1.01,3,0,0
A. Ochoa,"CF, LW",0.06,2,1,0
A. Ochoa,"CF, RB, RCMF3, RW",0.26,3,2,1
A. Ochoa,"CF, RCMF, RW",0.36,3,0,0
A. Ochoa,"DMF, LW",0.26,3,1,0
A. Ochoa,"LAMF, LW, RW",0.16,1,1,0
A. Ochoa,"LAMF, RAMF",0.38,2,0,0
A. Ochoa,LCMF,0.04,2,2,0
A. Ochoa,"LCMF, LW",0.74,2,1,1
A. Ochoa,"LCMF, RAMF, RDMF",0.55,2,1,0
A. Ochoa,"LCMF, RCMF",0.97,5,3,2
A. Ochoa,"LCMF3, LWF",0.1,3,1,0
A. Ochoa,"LCMF3, RCMF",0.38,2,1,0
A. Ochoa,"LCMF3, RWF",0.05,1,1,0
A. Ochoa,LDMF,0.0,1,0,0
A. Ochoa,"LDMF, RDMF",0.02,1,0,0
A. Ochoa,"LW, RCMF",0.07,1,1,0
A. Ochoa,LWF,1.76,9,6,3
A. Ochoa,"LWF, RCMF, RWF",0.15,3,0,0
A. Ochoa,"LWF, RWF",0.05,1,0,0
A. Ochoa,"RCMF, RCMF3",0.0,1,0,0
A. Ochoa,"RCMF, RCMF3, RW",0.02,2,1,0
A. Ochoa,RWF,0.38999999999999996,4,2,1
A. Roberts,"CF, RW",0.36,1,1,0
A. Roberts,"LB, LCMF",0.03,1,0,0
A. Roberts,LCMF,0.15,3,0,0
A. Roberts,"LCMF, LW, RW",0.21,1,1,1
A. Roberts,"LCMF, RW",0.17,2,0,0
A. Roberts,"RAMF, RB",0.78,2,1,1
A. Roberts,"RB, RCMF",0.39,3,0,0
A. Samways,"LCMF, RCMF",0.05,2,0,0
A. Vovk,CF,1.5899999999999999,9,4,3
A. Vovk,"CF, LW",0.55,4,1,0
A. Vovk,"CF, RB",0.35,3,1,0
A.Awujo,CF,4.26,22,10,3
A.Awujo,"CF, RAMF",0.22,2,0,0
A.Awujo,"CF, RDMF",0.5,4,2,1
A.Awujo,"CF, RW",0.34,3,0,0
A.Awujo,LAMF,0.19,2,1,1
A.Awujo,"LAMF, RAMF",0.19,2,1,0
A.Awujo,"LAMF, RAMF, CF",0.19,2,0,0
A.Awujo,"LWF, RAMF, RW",0.95,3,1,1
A.Awujo,"LWF, RWF",1.4,6,2,1
A.Awujo,RAMF,1.46,4,2,0
A.Awujo,"RCMF, RW",0.01,1,0,0
A.Awujo,"RCMF3, RWF",0.01,1,0,0
A.Awujo,"RW, CF",0.14,2,1,0
B. Blevins,"AMF, LAMF, LCMF, RCMF",0.25,6,3,0
B. Blevins,"AMF, LCMF",0.11,1,0,0
B. Blevins,"AMF, LW, RW",0.09,2,1,0
B. Blevins,"AMF, LWB",0.17,1,1,1
B. Blevins,"AMF, RCMF3",0.16,2,2,0
B. Blevins,CF,0.03,1,0,0
B. Blevins,"CF, RW",0.27,1,1,0
B. Blevins,DMF,0.23,1,0,0
B. Blevins,LAMF,0.56,4,2,2
B. Blevins,"LAMF, LW",0.35,3,2,0
B. Blevins,"LAMF, RAMF, RCMF3",0.0,1,0,0
B. Blevins,"LB, LW, LWF",0.87,3,2,1
B. Blevins,LCMF,0.060000000000000005,2,0,0
B. Blevins,"LCMF, LCMF3, LW, RW",0.1,3,1,0
B. Blevins,"LCMF, LW, RCMF",0.8200000000000001,3,1,1
B. Blevins,"LCMF, RCMF",0.18,6,1,1
B. Blevins,"LCMF, RCMF, RW",0.04,1,0,0
B. Blevins,LCMF3,0.05,1,1,0
B. Blevins,"LDMF, RCMF",0.01,2,0,0
