player_name,team,Position,Match,Minutes played,Successful Actions,Total Actions,Action Efficiency,Best Position
A. Adalsteinsson,Rutgers Scarlet Knights,LCB,Lehigh Mountain Hawks - Rutgers Scarlet Knights 0:2,30,15,28,0.5357142857142857,RCB
A. Adalsteinsson,Rutgers Scarlet Knights,CB,Ohio State Buckeyes - Rutgers Scarlet Knights 3:0,37,16,29,0.5517241379310345,RCB
A. Adalsteinsson,Rutgers Scarlet Knights,LCB,Penn State Nittany Lion - Rutgers Scarlet Knights 2:1,101,56,70,0.8,RCB
A. Adalsteinsson,Rutgers Scarlet Knights,CB,Rutgers Scarlet Knights - Delaware Blue Hens 1:4,111,35,51,0.6862745098039216,RCB
A. Adalsteinsson,Rutgers Scarlet Knights,"CB, RCB",Rutgers Scarlet Knights - Indiana Hoosiers 0:1,97,16,27,0.5925925925925926,RCB
A. Adalsteinsson,Rutgers Scarlet Knights,"CB, LCB",Rutgers Scarlet Knights - Maryland College Park Terrapins 3:1,121,29,44,0.6590909090909091,RCB
A. Adalsteinsson,Rutgers Scarlet Knights,LCB,Rutgers Scarlet Knights - Michigan Wolverines 1:1,111,46,61,0.7540983606557377,RCB
A. Adalsteinsson,Rutgers Scarlet Knights,LCB,Rutgers Scarlet Knights - Northeastern Huskies 3:1,106,42,48,0.875,RCB
A. Adalsteinsson,Rutgers Scarlet Knights,LCB,Rutgers Scarlet Knights - Northwestern Wildcats 1:2,111,57,72,0.7916666666666666,RCB
A. Adalsteinsson,Rutgers Scarlet Knights,"LCB, RCB",Rutgers Scarlet Knights - Princeton Tigers 3:1,112,34,46,0.7391304347826086,RCB
A. Adalsteinsson,Rutgers Scarlet Knights,"CB, RCB",Rutgers Scarlet Knights - Seton Hall Pirates 1:3,106,94,122,0.7704918032786885,RCB
A. Adalsteinsson,Rutgers Scarlet Knights,RCB,Rutgers Scarlet Knights - UCLA Bruins 0:3,16,8,10,0.8,RCB
A. Adalsteinsson,Rutgers Scarlet Knights,LCB,Wisconsin Badgers - Rutgers Scarlet Knights 1:3,119,61,80,0.7625,RCB
A. Adalsteinsson,Rutgers Scarlet Knights,CB,Yale Bulldogs - Rutgers Scarlet Knights 1:1,98,58,78,0.7435897435897436,RCB
A. Barger,Indiana Hoosiers,LB,Butler Bulldogs - Indiana Hoosiers 1:1,113,43,68,0.6323529411764706,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Butler Bulldogs 1:0,97,48,61,0.7868852459016393,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Dayton Flyers 0:2,51,18,20,0.9,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - DePaul Blue Demons 2:0,97,47,74,0.6351351351351351,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Evansville Purple Aces 2:0,103,70,91,0.7692307692307693,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Kentucky Wildcats 3:2,63,36,45,0.8,"LB, LWB"
