player_name,team,Position,Wins,Losses,Draws
A. Adalsteinsson,Rutgers Scarlet Knights,CB,2,0,1
A. Adalsteinsson,Rutgers Scarlet Knights,"CB, LCB",1,0,0
A. Adalsteinsson,Rutgers Scarlet Knights,"CB, RCB",2,0,0
A. Adalsteinsson,Rutgers Scarlet Knights,LCB,5,0,1
A. Adalsteinsson,Rutgers Scarlet Knights,"LCB, RCB",1,0,0
A. Adalsteinsson,Rutgers Scarlet Knights,RCB,1,0,0
A. Barger,Indiana Hoosiers,0,2,0,0
A. Barger,Indiana Hoosiers,LB,23,1,9
A. Barger,Indiana Hoosiers,"LB, LB5",1,0,0
A. Barger,Indiana Hoosiers,"LB, LWB",1,0,0
A. Barger,Indiana Hoosiers,"LB, RB",1,0,0
A. Bilow,Ohio State Buckeyes,0,6,0,1
A. Bilow,Ohio State Buckeyes,"AMF, CF, LW",1,0,0
A. Bilow,Ohio State Buckeyes,CF,3,0,1
A. Bilow,Ohio State Buckeyes,LAMF,1,0,0
A. Bilow,Ohio State Buckeyes,"LAMF, RAMF",1,0,0
A. Bilow,Ohio State Buckeyes,"LCMF, RW",1,0,0
A. Bilow,Ohio State Buckeyes,LW,4,0,1
A. Bilow,Ohio State Buckeyes,"LW, CF",1,0,2
A. Bilow,Ohio State Buckeyes,"LW, RCMF3",1,0,0
A. Bilow,Ohio State Buckeyes,"LW, RW",2,0,2
A. Bilow,Ohio State Buckeyes,RAMF,2,0,1
A. Bilow,Ohio State Buckeyes,"RAMF, RW",1,0,1
A. Bilow,Ohio State Buckeyes,"RCMF, RW",1,0,0
A. Bilow,Ohio State Buckeyes,RW,10,0,2
A. Bilow,Ohio State Buckeyes,"RW, CF",1,0,0
A. Braman,Midwestern State Mustangs,GK,3,0,0
A. Braman,Wisconsin Badgers,GK,2,0,0
A. Camara,Kentucky Wildcats,AMF,2,0,0
A. Camara,Kentucky Wildcats,"AMF, CF",4,0,0
A. Camara,Kentucky Wildcats,"AMF, CF, RAMF",1,0,0
A. Camara,Kentucky Wildcats,CF,8,0,4
A. Camara,Kentucky Wildcats,"CF, RWF",1,0,0
A. Camara,Louisville Cardinals,CF,37,4,3
A. Camara,Louisville Cardinals,"CF, LW",1,0,0
A. Camara,Louisville Cardinals,"CF, LW, RW",1,0,0
A. Camara,Louisville Cardinals,"CF, LWB",0,1,0
A. Camara,Louisville Cardinals,"CF, RW",2,0,0
A. Camara,Penn State Nittany Lion,"AMF, CF",1,0,0
A. Camara,Penn State Nittany Lion,CF,6,0,1
A. Camara,Penn State Nittany Lion,"RWF, CF",0,0,1
A. Cooke,Colgate Raiders,GK,30,1,8
A. Cooke,Penn State Nittany Lion,GK,10,0,2
A. Flynn,Rutgers Scarlet Knights,0,9,0,2
A. Flynn,Rutgers Scarlet Knights,LB,2,0,1
A. Flynn,Rutgers Scarlet Knights,LB5,1,0,0
A. Flynn,Rutgers Scarlet Knights,LCB,5,0,0
A. Flynn,Rutgers Scarlet Knights,"LCB, LCB3",1,0,0
A. Flynn,Rutgers Scarlet Knights,"LCB, RW",1,0,0
A. Flynn,Rutgers Scarlet Knights,LCB3,2,0,0
A. Flynn,Rutgers Scarlet Knights,LCMF3,1,0,0
A. Flynn,Rutgers Scarlet Knights,LWB,1,0,0
A. Flynn,Rutgers Scarlet Knights,RCB,0,0,1
A. Hall,Washington Huskies,AMF,2,0,0
A. Hall,Washington Huskies,"AMF, CF",1,0,0
A. Hall,Washington Huskies,"AMF, RAMF",0,0,1
A. Hall,Washington Huskies,CF,2,0,0
A. Hall,Washington Huskies,LW,1,0,1
A. Hall,Washington Huskies,"LW, CF",0,0,1
A. Hall,Washington Huskies,RW,0,0,1
A. Hall,Washington Huskies,"RW, CF",1,0,0
A. Kato,Penn State Nittany Lion,0,0,0,1
A. Kato,Penn State Nittany Lion,CF,10,0,4
A. Legaspi,UCLA Bruins,"CB, RCB",1,0,0
A. Legaspi,UCLA Bruins,"LCB3, RCB3",1,0,0
A. Legaspi,UCLA Bruins,RB,3,0,1
A. Legaspi,UCLA Bruins,RCB,2,0,1
A. Legaspi,UCLA Bruins,RCB3,3,0,2
A. Narang,UCLA Bruins,0,2,0,1
A. Narang,UCLA Bruins,AMF,1,0,0
A. Narang,UCLA Bruins,DMF,5,0,1
A. Narang,UCLA Bruins,"DMF, LCMF",0,0,1
A. Narang,UCLA Bruins,"DMF, RCMF3",1,0,0
A. Narang,UCLA Bruins,"DMF, RDMF",1,0,0
A. Narang,UCLA Bruins,LCMF,0,0,1
